Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
Mitsubishi Bicara Target dan Promo di GJAW 2024,"JAKARTA, KOMPAS.com - Kehadiran varian Xforce dengan teknologi Advanced Driver Assistance System (ADAS) bernama Diamond Sense (DS), menjadi asa baru bagi Mitsubishi.Dari segi penjualan, diharapkan model ini bisa memberikan kontribusi positif. Termasuk dalam ajang GJAW yang berlangsung hingga 1 Desember 2024.Soal terget penjualan, Irwan Kuncoro, Director of Sales and Marketing Division PT PT Mitsubishi Motors Krama Yudha Sales Indonesia (MMKSI) mengatakan, dengan lokasi pameran yang berbeda diharapkan penjualan akan lebih baik meski pasar sedang lesu.Baca juga: Suzuki di Antara Invasi Merek China dan Kondisi Market yang Negatif""Tahun lalu kami menjual sekitar 600-an unit, sekarang dengan lokasi berbeda kami menargetkan lebih atau dua kalinya. Angkanya bisa 1.000 sampai 1.500 unit, intinya kami tetap mengoptimalkan penjualan, dan berusaha memasarkan sebanyak-banyaknya,"" kata Irwan beberapa hari lalu di Tangerang.KOMPAS.com/STANLY RAVEL Xforce Diamond Sense di GJAW 2024Untuk mendongkrak penjualan, MMKSI juga sudah memiliki program menarik bagi calon konsumen selama pameran berlangsung.Pengujung yang mengincar Xforce, ada program spesial down payment (DP) mulai 15 persen, sampai bunga ringan nol persen hingga dua tahun. Selain itu, lucky dip berhadiah hingga Rp 15 juta, voucer belanja Rp 5 juta, sampai program tukar tambah dengan cashback Rp 5 juta.Beragam keuntungan lain turut disediakan, seperti gratis dashcam khusus untuk pembelian Xforce DS di GJAW 2024, kaca film, serta servis berkala hingga 50.000 km atau 4 tahun.Baca juga: Toyota Klaim Punya Teknologi Hybrid yang TerbaikUntuk Xpander, tersedia program tukar tambah dengan cashback Rp 4 juta, lucky dip Rp 10 juta, DP ringan 10 persen dan bunga rendah mulai 20 persen, asuransi kecelakaan diri, serta asuransi kerusakan ban selama 1 tahun yang juga berlaku untuk Xpander Cross.MMKSI Mitsubishi Xforce Ultimate with Diamond SensePenawaran menarik lain juga diberikan untuk Pajero Sport, Triton 4x4, dan L300. Namun yang perlu diingat, program penjualan ini berlaku hanya selama pameran GJAW 2024 berlangsung.",29/11/2024,OTOMOTIF
"MK Kembali Kabulkan Gugatan UU Cipta Kerja, Kini Terkait Rencana Umum Ketenagalistrikan Nasional","JAKARTA, KOMPAS.com - Mahkamah Konstitusi (MK) mengabulkan gugatan Undang-Undang Cipta Kerja Nomor 6 Tahun 2024 yang kini berkaitan dengan Rencana Umum Ketenagalistrikan Nasional.""Mengabulkan permohonan para pemohon untuk sebagian,"" ujar Ketua MK, Suhartoyo dalam sidang putusan Nomor 39/PUU-XXI/2023 yang digelar, Jumat (29/11/2024)Dalam putusan, Suhartoyo mengatakan, Pasal 7 Ayat 1 dalam Pasal 42 angka 5 Lampiran UU Nomor 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang Cipta Kerja Menjadi Undang-Undang, bertentangan dengan Undang-Undang Dasar 1945 dan tidak memiliki kekuatan hukum mengikatPasal ini bertentangan dan tidak mengikat sepanjang tidak dimaknai ""Rencana Umum Ketenagalistrikan Nasional disusun berdasarkan kebijakan energi nasional dan ditetapkan leh Pemerintah Pusat setelah mendapat pertimbangan DPR RI"".Baca juga: Depok dan 4 Daerah Lainnya Bakal Gugat Hasil Pilkada 2024 ke MKMK juga menyatakan kata ""dapat"" pada norma Pasal 10 ayat 2 UU Cipta Kerja Pasal 42 angka 5 Lampiran UU Nomor 6 Tahun 2023 tentang Penetapan Peraturan Pemerintah Pengganti Undang-Undang Nomor 2 Tahun 2022 tentang Cipta Kerja Menjadi Undang-Undang, bertentangan dengan Undang-Undang Dasar 1945 dan tidak memiliki kekuatan hukum mengikat.Adapun permohonan ini diajukan oleh berbagai serikat pekerja yang bekerja di bidang energi.Mereka merasa pasal tersebut merugikan konstitusionalitas mereka karena perbedaan perlakuan tarif antar daerah dan potensi diberlakukannya tarif listrik yang disamakan dengan konsep bisnis.Hal ini dinilai membuat usaha penyediaan listrik tak lagi di bawah penguasaan negara sebagaimana amanat Pasal 33 UUD 1945, sehingga tidak dapat terpenuhi kebutuhan listrik sebagai kebutuhan dasar.Sebab itu, mereka meminta agar pasal yang mengancam penguasaan negara atas penyediaan listrik ini dibatalkan MK.",29/11/2024,NEWS
Proyek Smelter Grup MIND ID Serap 8.600 Tenaga Kerja,"JAKARTA, KOMPAS.com - BUMN Holding Industri Pertambangan Indonesia, MIND ID, mencatat 8.600 tenaga kerja yang terserap di proyek-proyek smelter yang tengah dibangun.Proyek ini tersebar di sejumlah lokasi seperti di Kabupaten Manyar, Gresik, Jawa Timur, dan di Mempawah, Kalimantan Barat.Serapan ribuan tenaga kerja ini merupakan wujud komitmen MIND ID untuk mendorong investasi.Tidak hanya meningkatkan nilai tambah komoditas di dalam negeri, inisiatif strategis Grup MIND ID juga berkontribusi pada peningkatan kualitas sumber daya manusia (SDM) lokal.Sekretaris Perusahaan MIND ID Heri Yusuf mengatakan, investasi pada program hilirisasi dan industrialisasi mineral Grup MIND ID telah memberikan dampak positif yang signifikan terhadap kinerja ekonomi, salah satunya melalui peningkatan serapan tenaga kerja lokal.Baca juga: Negara Kantongi Rp 80 Triliun dari Smelter Freeport di KEK Gresik“Investasi yang kami lakukan memberikan manfaat langsung berupa penyerapan tenaga kerja lokal di sekitar wilayah operasional. Selain itu, investasi ini juga mendorong terciptanya lapangan kerja baru di sektor-sektor pendukung,” ujar Heri dalam keterangan tertulis yang dikutip Kompas.com, Jumat (29/11/2024).Untuk proyek Smelter Tembaga di Manyar, tercatat setidaknya 2.000 tenaga kerja terserap saat beroperasi penuh, yang terdiri dari 1.200 karyawan kontraktor dan 800 karyawan langsung PT Freeport Indonesia.Selain itu, proyek Smelter Grade Alumina Refinery (SGAR) di Mempawah, menyerap sebanyak 1.100 karyawan, yang terbagi atas 880 tenaga alih daya hingga personel keamanan, serta rencana penambahan 200 karyawan seiring dengan beroperasinya smelter tersebut.Pada tahap konstruksi, proyek SGAR sebelumnya menyerap hingga 3.000 tenaga kerja.Sementara itu, proyek Smelter Tembaga di Manyar menyerap sekitar 2.600 tenaga kerja selama tahap konstruksi.Baca juga: ANEM Bangun Smelter Nikel di MorowaliHeri menambahkan, kualitas tenaga kerja juga meningkat seiring dengan proses transfer teknologi yang berjalan di setiap daerah operasional.Hal ini memungkinkan tenaga kerja lokal untuk meniti jenjang karier yang lebih baik.""Sebagai perpanjangan tangan pemerintah, kami berupaya memastikan bahwa inisiatif strategis yang dijalankan mampu memberikan manfaat maksimal bagi Indonesia, termasuk dalam hal penyerapan dan peningkatan kualitas tenaga kerja lokal,"" tuntas Heri.",29/11/2024,PROPERTI
"Resmi Naik Per 2025, Berapa Gaji Guru PNS dan Honorer Saat Ini?","KOMPAS.com - Presiden Prabowo Subianto resmi menaikkan gaji guru mulai 2025.Kenaikan gaji guru itu diumumkan saat Puncak Peringatan Hari Guru di Velodrome Rawamangun, Jakarta Timur pada Kamis (28/11/2024).""Hari ini saya agak tenang berdiri di hadapan para guru karena saya bisa menyampaikan bahwa kita walaupun baru berkuasa satu bulan, kami sudah bisa mengumumkan bahwa kesejahteraan guru bisa kita tingkatkan,"" ucap Prabowo dalam sambutannya seperti yang dikutip Kompas.com, Kamis. Prabowo merinci, kenaikan gaji guru akan diberikan kepada guru Aparatur Sipil Negara (ASN) sebesar satu kali gaji pokok.Sementara guru honorer atau non-ASN yang telah mengikuti sertifikasi atau pendidikan profesi guru (PPG) akan mendapat kenaikan gaji berupa tunjangan profesi menjadi Rp 2 juta.Lantas, berapa gaji guru PNS dan honorer saat ini?Baca juga: Resmi, Gaji Guru Naik pada 2025, Berikut RinciannyaPada dasarnya gaji guru pegawai negeri sipil (PNS) sama seperti gaji ASN lainnya.Ketentuan tersebut diatur dalam Peraturan Pemerintah (PP) Nomor 5 Tahun 2024 tentang Perubahan Kesembilan Belas Atas Peraturan Pemerintah Nomor 7 Tahun 1977 Tentang Peraturan Gaji Pegawai Negeri Sipil yang ditandatangani presiden sebelumnya, Joko Widodo pada 26 Januari 2024. Berdasarkan aturan PP Nomor 5/2024, gaji pokok guru PNS 2024 sudah mengalami kenaikan sebesar 8 persen. Tujuannya adalah untuk meningkatkan kinerja dan kesejahteraan PNS.Dalam aturan tersebut, dijelaskan secara rinci bahwa pemberian gaji PNS akan diberikan dengan menghitung latar belakang dan masa kerja golongan (MKG).MKG adalah masa kerja yang digunakan untuk menentukan besaran gaji pokok. Besaran gaji PNS juga diberikan berdasarkan golongan dan lama kerja.Adapun golongan PNS ditentukan berdasarkan tahun lamanya mengabdi.Artinya, meskipun seorang guru PNS sama-sama berasal dari lulusan S1, gaji PNS yang bekerja lebih dari 5 tahun akan berbeda dengan gaji PNS yang baru bekerja kurang dari 5 tahun.Di sisi lain, Peraturan Menteri Negara Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (MenpanRB) Nomor 16 Tahun 2009 tentang Jabatan Fungsional Guru dan Angka Kreditnya mengatur jabatan dan pangkat profesi guru. Dalam Pasal 12 peraturan tersebut, dijelaskan bahwa jabatan fungsional guru mulai dari yang terendah sampai dengan tertinggi, yaitu Guru Pertama, Guru Muda, Guru Madya, dan Guru Utama.",29/11/2024,TREN
MK Minta KPK Tak Sungkan Usut Korupsi yang Dilakukan Orang yang Tunduk Pada Peradilan Militer,"JAKARTA, KOMPAS.com - Hakim Konstitusi Arsul Sani meminta agar Komisi Pemberantasan Korupsi (KPK) tidak perlu sungkan mengusut kasus korupsi yang dilakukan oleh orang yang tunduk pada peradilan militer.Hal ini disampaikan Arsul saat membacakan pertimbangan putusan perkara nomor 87/PUU.XXI/2023, Jumat (29/11/2024).""Dalam hal ini, penegak hukum tindak pidana korupsi seharusnya mengesampingkan daya sungkan atau ""ewuh pekewuh"" terutama untuk hal-hal yang sudah diatur secara tegas dalam peraturan perundang-undangan,"" kata Arsul.Dalam perkara ini diketahui pasal yang digugat adalah Pasal 42 UU 30/2002 tentang KPK.Baca juga: MK: Tak Ada Kewajiban KPK Serahkan Perkara Korupsi ke Peradilan MiliterPasal ini menjelaskan kewenangan KPK yang bisa melakukan penyelidikan, penyidikan, dan penuntutan kepada orang-orang yang terlibat korupsi baik yang tunduk pada peradilan umum maupun pada peradilan militer.""Sekalipun KPK merupakan lembaga yang lahir pada era setelah reformasi dibandingkan kepolisian, kejaksaan dan TNI yang merupakan instansi/lembaga yang telah jauh lebih dulu dibentuk sebelum adanya KPK. Namun dalam hal ini ketentuan Pasal 42 UU 30/2002 telah mengatur dan menempatkan KPK menjadi instansi yang diberi kewenangan untuk menjalankan koordinasi dan pengendalian penyelidikan, penyidikan, dan penuntutan tindak pidana korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan militer dan peradilan umum,"" kata Arsul.Dalam kesempatan yang sama, Hakim Ketua Suhartoyo menegaskan tak ada kewajiban KPK menyerahkan kasus korupsi pada Oditur atau Peradilan Militer jika kasus tersebut dimulai oleh KPK.Baca juga: MK Kabulkan Sebagian Gugatan Kewenangan KPK Kendalikan Penyidikan untuk Orang yang Tunduk Pada Peradilan MiliterArtinya, sepanjang KPK menangani sejak awal perkara korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan umum dan orang yang tunduk pada peradilan militer, maka perkara tersebut ditangani oleh KPK sampai adanya putusan pengadilan yang mempunyai kekuatan hukum tetap.""Sebaliknya, terhadap perkara tindak idana korupsi yang dilakukan oleh orang yang tunduk pada peradilan militer yang dimulai penanganannya oleh lembaga penegak hukum selain KPK maka tidak ada kewajiban bagi lembaga hukum lain tersebut untuk melimpahkannya kepada KPK,"" imbuh dia.Dalam perkara ini, MK mengabulkan sebagian permohonan pemohon.Dalam putusan itu, Suhartoyo menyatakan Pasal 42 Undang-Undang Nomor 30 Tahun 2002 tentang KPK yang menyatakan KPK berwenang mengkoordinasikan an mengendalikan penyelidikan, penyidikan, dan penuntutan tindak pidana korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan militer dan peradilan umum bertentangan dengan UUD 1945 dan tidak memiliki kekuatan hukum mengikat secara bersyarat.Syarat yang dimaksud sepanjang Pasal tersebut tidak dimaknai ""Komisi berwenang mengkoordinasikan dan mengendalikan penyelidikan, penyidikan, dan penuntutan tindak pidana korupsi yang dilakukan bersama-sama oleh orang yang tunduk pada peradilan militer dan peradilan umum sepanjang perkara dimaksud proses penegakan hukumnya ditangani sejak awal dimulai/ditemukan oleh Komisi Pemberantasan Korupsi"".Gugatan ini dilayangkan oleh seorang advokat Gugum Ridho Putra yang menggugat frasa ""mengkoordinasikan dan mengendalikan"" dalam Pasal 42 UU 30/2002 tentang KPK.Dalam petitumnya, pemohon meminta agar frasa tersebut dimaknai KPK memiliki kewajiban melakukan koordinasi dan mengendalikan kasus korupsi yang tunduk pada peradilan militer.",29/11/2024,NEWS
"Liburan Mewah ala Crazy Rich, Ini 3 Destinasi Eksklusif untuk Sambut Tahun Baru","KOMPAS.com - Akhir tahun adalah momen sempurna untuk menikmati liburan mewah dan tak terlupakan. Kamu yang ingin merayakan pergantian tahun dengan cara tak biasa, destinasi eksklusif ala crazy rich bisa menjadi inspirasi sempurna.  Menurut laporan Business Insider, Jumat (11/10/2024), para crazy rich memilih destinasi favorit yang menawarkan kenyamanan, privasi, dan layanan istimewa.  Para crazy rich tersebut menginginkan pengalaman liburan bebas repot, di mana setiap kebutuhan mereka terpenuhi dengan sempurna. Destinasi pilihan mereka biasanya dirancang untuk memberikan kemewahan tanpa batas, layanan personal, dan ketenangan yang sulit didapatkan di tempat lain.  Jika ingin merasakan liburan akhir tahun ala crazy rich, berikut Kompas.com rekomendasikan tiga destinasi mewah yang wajib dikunjungi.Baca juga: Sambut Libur Akhir Tahun, Blibli Gandeng Singapore Airlines Hadirkan Program Tukar PoinMaladewa adalah salah satu destinasi paling ikonis bagi mereka yang menginginkan liburan tropis dengan sentuhan mewah. Dengan lebih dari 1.000 pulau yang tersebar di Samudra Hindia, Maladewa menawarkan suasana yang sempurna untuk relaksasi dan ketenangan. Maladewa terkenal dengan keindahan alamnya yang tak tertandingi, mulai dari pasir putih yang halus, air laut berwarna biru kehijauan, hingga terumbu karang yang mempesona. Kamu bisa menikmati berbagai aktivitas, seperti makan malam private di hamparan pasir pantai dengan suasana yang telah dikemas mewah, snorkeling atau menyelam di laut bebas, hingga spa kelas dunia dengan perawatan tubuh tradisional ala Maladewa. Bahkan, untuk pengalaman yang lebih eksklusif, beberapa resor menawarkan private island di mana kamu dan keluarga atau teman-teman bisa menikmati waktu berkualitas tanpa gangguan.  Baca juga: Blibli Ajak Mahasiswa Tangkap Peluang Green JobsPada malam pergantian tahun, kamu dapat menikmati pesta dengan hidangan seafood terbaik, diiringi dengan alunan musik live di pantai atau di restoran mewah yang menghadap ke laut. Dok. Shutterstock/ Markus Mainka) Burj Khalifa di Dubai, destinasi favorit untuk liburan akhir tahun.
Dubai adalah kota yang dikenal dengan kemewahan dan modernitasnya. Untuk merasakan liburan tahun baru ala crazy rich, tidak ada tempat yang lebih spektakuler selain Burj Khalifa, gedung tertinggi di dunia yang menjadi pusat perayaan tahun baru. Setiap tahun, Burj Khalifa menyuguhkan pertunjukan kembang api dan laser yang memukau di malam pergantian tahun dan menarik ribuan wisatawan dan penduduk lokal untuk menyaksikan pemandangan luar biasa tersebut.  Di lantai 122 Burj Khalifa, terdapat restoran Atmosphere. Ini adalah tempat makan paling mewah yang menawarkan pemandangan kota Dubai dari ketinggian 442 meter. Baca juga: Simak Sederet Kerja Sama Blibli dengan Layanan FintechMenyantap hidangan gourmet sambil menikmati pemandangan menakjubkan dari atas gedung adalah pengalaman yang sangat eksklusif. Jika ingin merasakan kemewahan ekstra, kamu dapat memesan private dining atau pesta tahun baru pribadi yang diadakan di ruang-ruang VIP di Burj Khalifa.  Setelah menikmati malam tahun baru, kamu dapat berkeliling Dubai dan mengunjungi beberapa landmark ikonis lainnya, seperti Palm Jumeirah, Dubai Mall, dan Dubai Fountain. Hotel-hotel bintang lima di Dubai, seperti Atlantis The Palm atau Armani Hotel, juga menawarkan layanan luar biasa yang bisa membuat liburan semakin berkesan. Dok. Shutterstock/Tianalima) Selebrasi tahun baru di Paris, Prancis. Paris dan Saint-Tropez adalah dua destinasi di Prancis yang selalu menjadi favorit para crazy rich. Suasana romantis dan kemewahan seni di Paris adalah hal yang paling dicari oleh para miliarder. ",29/11/2024,LIFESTYLE
"Bawaslu Ingatkan Rekapitulasi Pilkada Jakarta Harus Terbuka, Manipulasi Suara adalah Kejahatan","JAKARTA, KOMPAS.com – Badan Pengawas Pemilu (Bawaslu) DKI Jakarta melakukan pengawasan ketat terhadap proses rekapitulasi suara di tingkat Panitia Pemilihan Kecamatan (PPK) pada Pilkada 2024.Koordinator Divisi Penanganan Pelanggaran Bawaslu DKI Jakarta, Benny Sabdo, menegaskan pentingnya menjaga kejujuran dalam setiap tahapan rekapitulasi suara.""Memanipulasi suara rakyat adalah kejahatan demokrasi. Karena itu, Panwas Kecamatan dan Panwas Kelurahan melakukan pengawasan langsung atas rekapitulasi suara yang dilaksanakan oleh PPK,"" ujar Benny Sabdo kepada Kompas.com, Jumat (29/11/2024).Bawaslu Jakarta berkomitmen memastikan proses rekapitulasi berjalan secara terbuka, jujur, dan sesuai hukum.Benny menekankan pentingnya keterlibatan masyarakat dalam mengawasi jalannya proses demokrasi ini.""Rekapitulasi suara harus dilaksanakan secara terbuka, jujur, dan berkepastian hukum agar kemungkinan adanya pelanggaran, penyimpangan, atau kesalahan oleh PPK dapat dicegah,"" ucap Benny.Baca juga: Bawaslu Jakarta Patroli ke Gang dan Kampung Cegah Politik Uang pada Masa TenangBenny juga mengajak masyarakat untuk turut mengawasi proses rekapitulasi suara secara berjenjang, mengingat Pilkada adalah wujud nyata pelaksanaan kedaulatan rakyat.""Pilkada adalah pelaksanaan kedaulatan rakyat. Suara kita adalah masa depan Jakarta. Karena itu, Bawaslu DKI mengajak seluruh rakyat Jakarta ikut serta mengawasi proses rekapitulasi suara ini,"" tegasnya.Dengan pengawasan melekat dari Bawaslu dan partisipasi aktif masyarakat, diharapkan Pilkada 2024 dapat berjalan lancar dan menjaga integritas suara rakyat.Diberitakan sebelumnya, Ketua Divisi Data dan Informasi Komisi Pemilihan Umum (KPU) Jakarta Fahmi Zikrillah menyampaikan, hasil rekapitulasi suara cagub-cawagub dari TPS wilayah Jakarta telah masuk 100 persen ke data Sirekap.""Perhitungan suara dan alhamdulillah seluruh TPS se-DKI Jakarta sudah selesai mengunggah foto (formulir) C atau hasil rekapitulasi 100 persen,"" ujar Fahmi saat konferensi pers di Kantor KPU Jakarta, Salemba, Jakarta Pusat, Kamis (28/11/2024).Baca juga: Hasil hitung Suara TPS Se-Jakarta Masuk 100 Persen, Real Count DimulaiMasyarakat bisa memantau sendiri hasil perhitungan suara tiga paslon cagub-cawagub melalui laman pilkada2024.kpu.co.id dengan tujuan agar menjaga integritas.Fahmi berharap dengan keterbukaan laman perhitungan suara itu, KPU dapat menjaga keterbukaan dan menghindari kecurangan.""Kerja kami dapat dipantau secara umum sehingga tidak ada manipulasi pada proses rekapitulasi suara,"" ucap dia.",29/11/2024,NEWS
Anies Merasa Punya Tanggung Jawab Moral atas Kasus Hukum Tom Lembong,"JAKARTA, KOMPAS.com - Gubernur Jakarta periode 2017-2022 Anies Baswedan mengaku merasa punya tanggung jawab moral terkait kasus hukum yang melibatkan sahabatnya, Tom Lembong.Pasalnya, Anies sudah berteman dengan Tom sejak 20 tahun lalu. Pada Pemilu Presiden (Pilpres) 2024, Tom juga berperan sebagai co-captain Tim Nasional Pemenangan Anies Baswedan-Muhaimin Iskandar (Timnas Amin).Baca juga: Ditanya Apakah Khawatir Nasibnya seperti Tom Lembong, Anies: Semoga Pak Prabowo Adil“Tentu itu punya beban tanggung jawab moral. Oleh karena itu saya mengikuti setiap fase persidangannya,"" ujar Anies dalam program Rosi di Kompas TV, dikutip Jumat (29/11/2024).Anies mengatakan, banyak yang tidak mengetahui proses hukum yang dijalani Tom, termasuk pemeriksaan yang dinilai janggal. Bahkan, dia menyebut pemeriksaan itu dilakukan dengan tujuan tertentu.""Jadi yang dialami Pak Tom itu banyak yang tidak terlihat publik. Yang diperiksa pajaknya, yang biasanya punya unit usaha lebih dari 20, biasanya hanya diambil sampel, ini semuanya diperiksa dengan tujuan tertentu,"" kata Anies.""Pemeriksaan begitu lengkap, semua banyak sekali. Bukan hanya itu, saya bisa sebutkan semua, tapi kami memilih untuk diam saja,"" sambung dia.Oleh sebab itu, Anies berjanji akan terus mendampingi Tom Lembong hingga permasalahan ini tuntas.""Karena itulah saya dan kita semua berjanji mendampingi proses ini sampai Insya Allah keadilan ditemukan di ujungnya,"" jelas dia.Baca juga: Anies Bicara Soal Mitos Petahana yang Selalu Gagal di Putaran Kedua Pilkada JakartaAdapun permohonan praperadilan mantan Menteri Perdagangan Thomas Trikasih Lembong ditolak dalam sidang pembacaan putusan praperadilan atas kasus dugaan tindak pidana korupsi kebijakan impor gula tahun 2015-2016.“Menolak tuntutan provisi yang diajukan pemohon, menolak eksepsi pemohon untuk seluruhkan, menolak praperadilan pemohon untuk seluruhnya. Demikian diputuskan Selasa, 26 November 2024,"" kata hakim tunggal Tumpanuli Marbun dalam sidang di Pengadilan Negeri (PN) Jakarta Selatan, Selasa (26/11/2024).Dengan putusan ini, penetapan tersangka Tom yang sebelumnya digugat tetap sah.",29/11/2024,NEWS
"Partisipasi Pemilih di Buleleng Hanya 64 Persen, KPU Akui Kesulitan Bujuk Gen Z ke TPS","BULELENG, KOMPAS.com - Angka partisipasi pemilih di Kabupaten Buleleng, Provinsi Bali, pada Pilkada Serentak 2024 sebanyak 64,7 persen dari total 594.619 daftar pemilih tetap (DPT).Jumlah tersebut lebih rendah dari target partisipasi pemilih sebesar 75 persen yang dicanangkan oleh KPU Kabupaten Buleleng.Ketua KPU Kabupaten Buleleng, Komang Dudhi Udayana mengungkapkan, angka tersebut masih bisa berubah karena prosesnya rekapitulasi suara masih berlangsung.""Partisipasi pemilih sementara ini dari yang kami hitung 64,7 persen,"" ujarnya di Kantor KPU Buleleng, Kamis (28/11/2024) malam.Baca juga: Problem Petugas KPPS di Buleleng, dari Patah Tulang hingga KeguguranIa membeberkan, tingkat partisipasi pemilih paling rendah di Kecamatan Kubutambahan dengan partisipasi 56,3 persen. Sedangkan partisipasi tertinggi di Kecamatan Gerokgak sebanyak 67 persen.Dudhi mengakui telah melakukan sejumlah sosialisasi untuk mengupayakan partisipasi pemilih mencapai target minimal. Termasuk kampanye ""Mulih Milih ke Buleleng"" atau pulang untuk memilih ke Buleleng.Baca juga: Diduga Kelelahan Bertugas di TPS, Linmas di Buleleng Meninggal DuniaKampanye itu digalakkan mengingat banyak warga Buleleng yang merantau. Selama pemungutan suara 27 November 2024 lalu, masih banyak warga Buleleng yang tidak bisa pulang untuk menggunakan hak pilihnya.Di sisi lain, Ketua KPU Provinsi Bali, I Dewa Agung Gede Lidartawan mengakui, pihaknya kesulitan membujuk pemilih Generasi Z (Gen Z) datang ke Tempat Pemungutan Suara (TPS).Menurut Lidartawan, Gen Z menjadi kelompok yang paling sulit dijangkau sosialisasi dibandingkan generasi lainnya. Sebab, jika dianggap tidak menarik, maka sosialisasi akan diabaikan.Sehingga ia berupaya melibatkan Gen Z sebagai penyelenggara pemilihan.""Dengan mereka terlibat, paling tidak sebagai petugas KPPS, akan mengajak teman-temannya datang ke TPS untuk memilih,"" kata dia.",29/11/2024,REGIONAL
Terobosan Kesehatan: Skrining Kanker Serviks dengan HPV DNA Mulai Diuji Coba,"KOMPAS.com - Roche Indonesia, Bio Farma, dan USAID MOMENTUM bersama Kementerian Kesehatan (Kemenkes) meluncurkan program percontohan skrining kanker leher rahim atau kanker serviks berbasis HPV DNA.Inisiatif ini merupakan bagian dari upaya integrasi layanan kesehatan primer di Puskesmas, yang bertujuan mempermudah akses skrining melalui metode self-sampling dan model hub and spoke.Langkah kolaboratif ini mendukung target Kemenkes untuk mengeliminasi kanker leher rahim pada 2030, khususnya dengan meningkatkan akses deteksi dini bagi perempuan di seluruh Indonesia. Program percontohan ini pertama kali diterapkan di Surabaya dan Sidoarjo, Jawa Timur, dengan cakupan sekitar 6.800 perempuan berusia 30-69 tahun.Konsep self-sampling memungkinkan perempuan untuk mengumpulkan sampel sendiri, sehingga lebih nyaman dan memudahkan proses skrining.Model hub and spoke diterapkan untuk mengoptimalkan efisiensi layanan. Model hub menggunakan instrumen otomatis untuk wilayah dengan populasi besar, sedangkan model spoke mengandalkan perangkat manual untuk wilayah berpopulasi kecil.“Model ini membantu tenaga kesehatan di Puskesmas, pos pelayanan terpadu (posyandu), dan rumah sakit bekerja sama secara efisien, sehingga layanan skrining bisa diakses perempuan di seluruh pelosok Indonesia,” ujar dr. Siti Nadia Tarmizi, Direktur Pencegahan dan Pengendalian Penyakit Tidak Menular Kemenkes.Dengan geografis Indonesia yang beragam dan terbatasnya tenaga kesehatan, pendekatan ini diharapkan menjadi solusi dalam mempercepat pencapaian target nasional. Lee Poh Seng, Direktur Diagnostics Division Roche Indonesia, menegaskan komitmen Roche untuk mendukung deteksi dini kanker leher rahim.“Skrining berbasis HPV DNA yang fleksibel dan efisien menjadi kunci. Kami percaya, jika cakupan skrining diperluas dan kesadaran masyarakat meningkat, angka kematian akibat kanker leher rahim bisa ditekan,” jelasnya.Dalam program ini, Roche Indonesia menyediakan instrumen cobas 5800 dan 6.500 alat tes HPV DNA, sementara Bio Farma menyuplai 1.300 kit cerviscan untuk wilayah spoke. Selain itu, tenaga kesehatan akan dilatih untuk mengoptimalkan layanan dan meningkatkan pencatatan serta pelaporan.Maryjane Lacoste, Chief of Party USAID MOMENTUM, menyatakan bahwa inisiatif ini mendukung program Integrasi Layanan Primer (ILP) Kemenkes. “Kami berharap, data yang diperoleh dari program ini dapat membantu pemerintah merancang pendekatan skrining yang lebih efektif dan efisien,” katanya.Dengan 36.633 kasus yang tercatat pada 2021 (Data Profil Kesehatan Indonesia), kanker leher rahim masih menjadi penyebab kematian tertinggi kedua bagi perempuan. Deteksi dini melalui skrining HPV DNA merupakan langkah strategis untuk menekan angka tersebut.Inisiatif ini mencerminkan pentingnya kolaborasi pemerintah, sektor swasta, dan organisasi internasional dalam mendukung kesehatan perempuan di Indonesia. Jika diterapkan secara luas, model ini diharapkan menjadi tonggak penting menuju eliminasi kanker leher rahim pada 2030.",29/11/2024,HEALTH
